楼盘名称,平米数,总价,单价
安化北里正规一居室，满五唯一，地铁边,37.12平米,435,"117,188元/平"
国瑞城东区经典小两居，温馨装修拎包入住，诚意出售,67.69平米,755,"111,538元/平"
天娇园商品社区3个落地阳台 采光好 拎包入住 带车位哦,91.71平米,1050,"114,492元/平"
央产房，视野好，电梯直达。有停车位,61.61平米,758,"123,032元/平"
通透两居室，无遮挡，采光好，单独管理,56.76平米,480,"84,567元/平"
东城区，安外大街3号院电梯两居室，楼龄新，诚心卖,48.56平米,539,"110,997元/平"
崇文门东大街正规南北三居室，满五唯一无遮挡,76.38平米,729,"95,444元/平"
东城区 富莱茵花园 正规两居室 东南向 出行方便,71.71平米,530,"73,909元/平"
东城天坛旁 商品房大2居 采光好 视野开阔 满五年唯一,105.95平米,822,"77,584元/平"
新景家园东区 南北通透 高层视野好 满五年唯一精装,78.03平米,999,"128,028元/平"
长安街北 南北三居  保养好 精装拎包入住 单独管理,73.72平米,727,"98,617元/平"
东城区 东二环 商品房本 满五唯一 有地铁 诚心出售,71.43平米,690,"96,599元/平"
此房是满五年的央产房，低楼层，三居室，格局合理,61.33平米,710,"115,768元/平"
2009年 一梯三户带电梯 楼层高没遮挡采光好 交通便利,63.75平米,669,"104,942元/平"
东二环东方银座高层一居室东向视野开阔,77.74平米,610,"78,467元/平"
领行国际 2005年商品房 高楼层 视野开阔 不临街 安静,104.99平米,839,"79,913元/平"
东城 前门 崇文门 电梯直达 高楼层三居室 看房方便,60.27平米,570,"94,575元/平"
中海紫御公馆5号楼把边南北两居 装修保养新,92.25平米,1298,"140,705元/平"
楼龄2002年，人车分流，永定门外地铁站，双超市环绕,86.07平米,698,"81,097元/平"
东城区二环内，2004年楼龄，朝南向两居，采光好不临街,52.22平米,589,"112,793元/平"
崇文门东大街 全南两居室 高层视野光线好 满五唯一,55.65平米,560,"100,629元/平"
精装修 南北通透两居室 采光好无遮挡 随时签约,39.54平米,385,"97,370元/平"
广渠家园，东城区，2009年建成，二环外，带车位,71.15平米,668,"93,887元/平"
朝西大两居，无遮挡，购房成本低，龙潭中湖公园,102.78平米,1021,"99,339元/平"
安化北里  南北通透   视野宽阔  满五年唯一,57.69平米,558,"96,724元/平"
商品房 满五唯一 落地大阳台  楼层好 装修好 采光好,55.4平米,620,"111,914元/平"
东城和平里 南北两居中间层 成本价可贷款 94年近地铁,55.76平米,695,"124,642元/平"
南北两居室 楼层好 采光好 小区安静宜居 满五唯一,55.91平米,628,"112,324元/平"
青年湖 1997年电梯房，满五年 业主诚意卖,98.71平米,1090,"110,425元/平"
华龙美晟  西南向大两居  格局方正  得房率81.5%,81.71平米,735,"89,953元/平"
夕照寺西里 固定车位 满五唯一 花园环境,62.99平米,535,"84,935元/平"
二环里东城！只有契税！精装修，商品房，高楼层！,85.18平米,698,"81,945元/平"
满五唯一 全明户型 采光全年没有遮挡 不临街 中间楼层,64.3平米,768,"119,441元/平"
东直门 东四十条 二环内 2层大一居 东南向 小区安静,50.7平米,550,"108,482元/平"
地坛北里双南向一层两居室，全明格局，采光好,52.81平米,678,"128,385元/平"
东城 崇文门西大街 全南两居室,48.11平米,500,"103,929元/平"
此房满五年唯一，格局合理，精装，动静分离，双卫！,129.15平米,820,"63,493元/平"
永定门东街西里 楼层好，满五唯一，全明格局。,53.26平米,420,"78,859元/平"
东城区二环里精装修南北全名两居室诚意出售,50.77平米,436,"85,878元/平"
板桥胡同南北通透的两居室，中间楼层，满五唯一,54.67平米,558,"102,067元/平"
东单 协和医院  南北通透三居 满五唯一,69.94平米,785,"112,240元/平"
南北通透两居 前后无楼挡  视野采光好,73.85平米,830,"112,390元/平"
崇文门新景家园正规两居，小区中间，采光好，无遮挡,81.37平米,868,"106,674元/平"
全明全凸三居对小区花园明亮通透，精装没住过,92.79平米,1050,"113,159元/平"
此房满五年的商品房1996年建成，交通便利，地铁300米,57平米,770,"135,088元/平"
华城地暖小两居满五唯一适合小家庭居住,79.56平米,915,"115,008元/平"
安化北里东南北向两居地铁7号线广渠门内,55.63平米,519,"93,295元/平"
国瑞城中区南北通透两居，全明格局，业主诚售随时看房,82.6平米,925,"111,986元/平"
东城广渠门广渠家园西向高楼层两居室,71.43平米,678,"94,919元/平"
东城区带电梯、有客厅、正南向、精装修两居室,58.3平米,508,"87,136元/平"
恒基中心 朝东大两居 精装修  满五唯一,96.18平米,820,"85,257元/平"
