名称,类别,区域,板块,地址,房型,面积,均价,总价
郎府书苑,住宅,通州,通州其它,西集镇京哈高速郎府出口南侧300米,3室,102.0,25800,286
和悦春风,住宅,大兴,大兴新机场,北京市大兴区隆延街与甜园路交叉路口往西北约150米,2室,92.0,38000,360
阳光城溪山悦,别墅,密云,密云其它,密溪路33号,2室,214.0,20000,410
金禧璞瑅,住宅,顺义,顺义其它,高泗路四村段23号,4室,150.0,39000,612
金禧璞瑅,别墅,顺义,顺义其它,高泗路四村段23号,5室,375.0,25000,1200
中骏云景台,住宅,房山,房山其它,官道西大街与良常路交叉口,2室,95.0,28000,235
禧瑞金海,住宅,平谷,平谷其它,平蓟路与环镇东路交汇,2室,98.0,22000,200
禧瑞金海,别墅,平谷,平谷其它,平蓟路与环镇东路交汇,2室,162.0,22000,342
电建·洺悦湾,住宅,大兴,旧宫,旧宫北路旧宫地铁站东侧300米,3室,104.0,60186,700
北科建·翡翠华府,住宅,怀柔,怀柔,中高路与乐园大街交叉口北150米,1室,90.0,36800,412
保利绿城·和锦诚园,住宅,大兴,瀛海,8号线南段地铁站东1.6公里,4室,141.0,65000,1010
北京庄园,别墅,顺义,顺义其它,京承高速第11出口往东800米,4室,1195.0,115000,12950
中海甲叁號院,住宅,丰台,玉泉营,丰台恒丰路,4室,172.0,125000,2500
复地通运府,酒店式公寓,通州,万达,北京市通州区北大街148号,2室,114.0,35000,435
住总兴创如遇,住宅,大兴,大兴新机场洋房别墅区,采华路与育镇街交叉路口往西北约100米(采育文化广场西南侧约100米),1室,84.0,28000,202
悠唐麒麟公馆,住宅,朝阳,朝阳门外,北京市朝阳三丰北里,1室,96.0,120000,1075
中海寰宇视界,住宅,房山,长阳,北京市房山区轨道交通房山线稻田地铁站南侧200米处,1室,166.0,55000,600
国祥府,住宅,密云,鼓楼街道,檀西路与新北路交汇处向北约400米,2室,101.0,28000,292
北京天誉,住宅,丰台,十里河,北京市丰台区小红门路312号,4室,185.0,120000,2575
航城壹号,住宅,大兴,大兴新机场,大广高速瓜乡桥西北300米航城壹号,2室,138.0,32000,435
中建·京西印玥,住宅,房山,良乡,阳光北大街中建·京西印玥,3室,90.0,43000,400
长城璞院,别墅,怀柔,怀柔其它,距离怀柔区黄花城水长城东侧1.5公里,5室,215.0,20000,574
玖瀛府,别墅,昌平,南邵,南金路7号院,3室,257.0,48000,1425
国誉万和城,住宅,丰台,青塔,西四环14号线大瓦窑站北300m,4室,160.0,82000,1215
路劲御和府,住宅,顺义,顺义其它,仁和园三街路劲御和府,1室,96.0,42000,400
葛洲坝中国府,别墅,丰台,玉泉营,丰台东路46号,4室,470.0,125000,3750
路劲御合院,别墅,大兴,大兴新机场洋房别墅区,彩凤路路劲·御合院,3室,243.0,26500,598
首开富力·十號国际,写字楼,顺义,顺义其它,高白路首开富力·十號国际,1室,594.0,26000,1400
龙湖云河砚,住宅,顺义,顺义其它,北京市顺义区,4室,105.0,38500,530
龙湖云河砚,别墅,顺义,顺义其它,外环路龙湖云河砚,4室,262.0,38500,870
公园都会,住宅,顺义,顺义其它,北京顺义区顺泰路与外环路交汇处,4室,100.0,39000,500
傲云,住宅,朝阳,中央别墅区,顺黄路44号,5室,245.0,100000,2600
西山相府,住宅,门头沟,城子,城子大街13号,3室,134.0,58000,785
傲云,别墅,朝阳,中央别墅区,顺黄路53号,4室,388.0,100000,3350
金地璟宸,住宅,房山,良乡,北京市房山区政通路29号,3室,123.0,40000,542
长安悦玺,住宅,石景山,鲁谷,衙门口南路长安悦玺,3室,135.0,79500,1085
天资陸号院,住宅,房山,长阳,昊天北大街天资陸号院,1室,192.0,39000,689
中建·长安麓府,住宅,门头沟,冯村,泰安路中建·长安麓府,4室,104.0,58000,725
招商中建顺义臻珑府,住宅,顺义,马坡,站前北街辅路招商中建顺义臻珑府,2室,106.0,39000,410
保利锦上一期,住宅,朝阳,垡头,化工路保利锦上,3室,134.0,71000,1100
龙樾合玺,住宅,朝阳,朝阳其它,北京市朝阳区南皋村中街,4室,150.0,88000,1315
金融街武夷·融御（二期）,住宅,通州,武夷花园,通胡大街 金融街武夷·融御（二期）,2室,126.0,66000,842
和光瑞府,住宅,顺义,中央别墅区,北京市顺义区中粮祥云小镇南侧地块,3室,130.0,58000,825
青云上府,住宅,朝阳,中央别墅区,东苇路青云上府,3室,146.0,66000,982
和光悦府,住宅,朝阳,朝阳其它,南皋路和光悦府,4室,145.0,88000,1275
朝阳壹号,住宅,朝阳,垡头,东五环朝阳壹号,3室,140.0,71000,1010
国祥雲著,住宅,密云,鼓楼街道,密云区檀营乡新北路,3室,126.0,28500,370
和锦华宸,别墅,顺义,马坡,站前北街辅路和锦华宸,2室,215.0,42000,795
和锦华宸,住宅,顺义,马坡,牛栏山实验一中北和锦华宸,3室,110.0,39000,450
和悦璞云,住宅,大兴,大兴其它,榆南路和悦璞云,1室,76.0,29800,246
中骏金辉未来云城,住宅,大兴,黄村火车站,北京·大兴新城·京雄城际铁路北京大兴站西50米，地铁黄村火车站西800米。,3室,124.0,54000,705
德贤华府,住宅,大兴,义和庄,兴良路德贤华府,2室,107.0,52000,577
北清云际,住宅,昌平,回龙观,北京市昌平区二拨子工业园区中路,3室,104.0,62000,760
绿城沁园,住宅,朝阳,豆各庄,黄厂路绿城沁园,3室,121.0,65000,785
建发·望京养云,住宅,朝阳,朝阳其它,南皋路140号,4室,213.0,70400,850
国誉未来悦,住宅,通州,九棵树(家乐福),九棵树西路国誉未来悦,3室,90.0,56000,575
金地北京壹街区,住宅,通州,通州其它,徐宋路金地北京壹街区,2室,138.0,45000,622
奥森春晓,住宅,昌平,回龙观,北京市昌平区文华路东侧约150米,4室,114.0,63000,825
越秀天恒.怀山府,住宅,怀柔,怀柔,红螺寺路怀山府,3室,114.0,38000,432
越秀天恒.怀山府,别墅,怀柔,怀柔,红螺寺路怀山府,3室,196.0,42000,955
西山金茂府,住宅,丰台,丰台其它,北京市丰台区,3室,125.0,55000,712
熙悦雲上,住宅,大兴,瀛海,南五环熙悦雲上,4室,129.0,65000,990
碧桂园·和世界,住宅,通州,通州其它,万盛南街和曹园北交叉口,3室,106.0,58000,575
中绿东岳府,住宅,朝阳,垡头,高碑店路中绿东岳府,3室,152.0,71000,1083
京能丽墅,别墅,大兴,大兴新机场洋房别墅区,南北大街京能丽墅,3室,240.0,29000,655
悦谷新城,住宅,怀柔,怀柔,富密路悦谷新城家园,2室,102.0,20000,210
朝阳一墅,别墅,朝阳,中央别墅区,金港南路朝阳一墅,3室,287.0,64500,1475
中建宸庐云起,住宅,顺义,马坡,大营二街中建宸庐云起,3室,128.0,40000,555
雅居乐富春山居,别墅,门头沟,门头沟其它,北京市门头沟区冯石环路西侧500米,3室,192.0,63000,1200
北京建工·璟玥林汐,住宅,怀柔,怀柔,和平街北京建工·璟玥林汐,2室,104.0,32000,372
中海云庭,住宅,石景山,石景山其它,北京市石景山古城南街东侧,3室,106.0,74800,790
长安润璟,住宅,石景山,石景山其它,景顺街长安润璟,3室,116.0,74800,875
